Title,Author,Year,Topic,Goal,User,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Picture,Link,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
Noisy City. Audible Data Visualization in Brussels,Jetpack,2020,Environment,Public Engagement,Public,Website,,Yes,Yes,Parameter Mapping,,https://noisy-city.jetpack.ai/?fbclid=IwAR2NVC7pgn44UhY3iomW1BLfFYENt3EIeEu2qab-xQxtcYpsoaIQZVjG3a0,Sonification is an interactive webpage,https://noisy-city.jetpack.ai/?fbclid=IwAR2NVC7pgn44UhY3iomW1BLfFYENt3EIeEu2qab-xQxtcYpsoaIQZVjG3a0,,,Noisy City. Audible Data Visualization in Brussels
Scientists use sound to track tiny organisms in the body,Shapiro,2020,Biology,Medical investigation,Domain Experts,,Research Lab,No,No,Audification,n,https://www.nature.com/articles/nature25021,Cannot listen to the sonification,No,https://www.nature.com/articles/nature25021,,Scientists use sound to track tiny organisms in the body
COVID-19 data sonification,Chelidon Frame,2020,Epidemiology,Public Engagement,Public,Website,,Yes/Graphics,No,Model Sonification,,https://covid19-data-sonification.space/,Sonification is an interactive webpage,https://covid19-data-sonification.space/,,,COVID-19 data sonification
Every UK Covid 19 Death by Day - from March 5th 2020 to June 23rd 2020,Jamie Pereira,2020,Epidemiology,Public Engagement,Public,Player,,No,No,Parameter Mapping,,https://soundcloud.com/jamieperera/sonification-every-uk-covid-19-death-by-day,Sonification is on Soundcloud,No,,,Every UK Covid 19 Death by Day - from March 5th 2020 to June 23rd 2020
Viral Counterpoint of the COVID-19 Spike Protein,"Markus J. Buehler, MIT",2020,Epidemiology,Scientific Investigation,Domain Experts,Player,,No,No,Parameter Mapping,,https://soundcloud.com/user-275864738/viral-counterpoint-of-the-coronavirus-spike-protein-2019-ncov?in=user-275864738/sets/protein-counterpoint,Sonification is on Soundcloud,No,,,Viral Counterpoint of the COVID-19 Spike Protein
COVID19 listening project,University of Surrey,2020,Biology,Medical investigation,Domain Experts,Player,Research Lab,Yes,No,Parameter Mapping,,https://www.youtube.com/watch?v=gj50HvWtll8&feature=emb_logo,Sonifcation is a video,https://www.youtube.com/watch?v=gj50HvWtll8&feature=emb_logo,https://www.surrey.ac.uk/news/listening-covid-19-clues-understanding-coronavirus-through-musical-transformations,https://enzodesena.github.io/covid-listening-project/,COVID19 listening project
Multi-modal COVID19 analytics,Stephen Roddy,2020,Epidemiology,Data Analysis,Public,Website,,Yes,Yes,Parameter Mapping,,https://stephenroddy.github.io/data-scape/,Sonification is an interactive webpage,https://stephenroddy.github.io/data-scape/,,,Multi-modal COVID19 analytics
Sounds from around the Milky Way,NASA/Harvard Smithsonian (Kimberly Kowal Arcand),2020,Astronomy,Inclusivity,Public,Player,,Yes,No,Parameter Mapping,,https://chandra.si.edu/photo/2020/sonify/animations.html,"Sonifcation is a video, you can download it from the webpage",https://chandra.si.edu/photo/2020/sonify/animations.html,https://www.republicworld.com/technology-news/science/nasa-data-sonification-of-spaces-cosmic-reef-nebulae.html,,Sounds from around the Milky Way
The THC Code,Deraout ft. GenM,2020,Biology,Art,Public,Player,,No,No,Parameter Mapping,,https://soundcloud.com/genm-ubihpc/the-thc-code-ambient-mix-deraout-ft-genm,Sonification is on Soundcloud,No,https://www.magneticmag.com/2020/10/interview-how-colombian-techno-producer-deraout-genm-turned-cannabis-dna-into-ambient-techno/,https://ubihpc.com/genm,The THC Code
Care Tunes for Families,Chen Chou,2020,Healthcare,Public Engagement,Public,Mobile App,,Yes/Graphics,Yes,Parameter Mapping,,https://www.youtube.com/watch?v=RXihb7dWx4o&feature=emb_title,You cannot really listen to the sonification,https://www.tudelft.nl/en/stories/articles/how-the-intensive-care-brings-music-to-your-ears/,https://www.tudelft.nl/en/stories/articles/how-the-intensive-care-brings-music-to-your-ears/,,Care Tunes for Families
